
======================================================================
Experiment: 308_dnn_64_32_16_lr_0_001_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 3 | 053/200 | loss: 0.4154/0.3399 | acc: 0.8316/0.8451 | lr: 0.00030000 
Fold 3 | 054/200 | loss: 0.4111/0.3376 | acc: 0.8439/0.8451 | lr: 0.00030000 
Fold 3 | 055/200 | loss: 0.3944/0.3362 | acc: 0.8404/0.8521 | lr: 0.00030000 
Fold 3 | 056/200 | loss: 0.4076/0.3326 | acc: 0.8456/0.8662 | lr: 0.00030000 *
Fold 3 | 057/200 | loss: 0.3983/0.3332 | acc: 0.8421/0.8592 | lr: 0.00030000 
Fold 3 | 058/200 | loss: 0.4027/0.3334 | acc: 0.8474/0.8662 | lr: 0.00030000 
Fold 3 | 059/200 | loss: 0.4043/0.3320 | acc: 0.8404/0.8592 | lr: 0.00030000 *
Fold 3 | 060/200 | loss: 0.4015/0.3326 | acc: 0.8421/0.8592 | lr: 0.00030000 
Fold 3 | 061/200 | loss: 0.3956/0.3309 | acc: 0.8491/0.8662 | lr: 0.00030000 *
Fold 3 | 062/200 | loss: 0.3919/0.3322 | acc: 0.8614/0.8662 | lr: 0.00030000 
Fold 3 | 063/200 | loss: 0.4161/0.3318 | acc: 0.8509/0.8662 | lr: 0.00030000 
Fold 3 | 064/200 | loss: 0.3964/0.3325 | acc: 0.8491/0.8732 | lr: 0.00030000 
Fold 3 | 065/200 | loss: 0.3890/0.3330 | acc: 0.8474/0.8732 | lr: 0.00030000 
Fold 3 | 066/200 | loss: 0.3946/0.3336 | acc: 0.8474/0.8662 | lr: 0.00030000 
Fold 3 | 067/200 | loss: 0.3918/0.3323 | acc: 0.8526/0.8732 | lr: 0.00015000 
Fold 3 | 068/200 | loss: 0.3942/0.3319 | acc: 0.8474/0.8732 | lr: 0.00015000 
Fold 3 | 069/200 | loss: 0.3913/0.3311 | acc: 0.8579/0.8732 | lr: 0.00015000 
Fold 3 | 070/200 | loss: 0.3881/0.3318 | acc: 0.8526/0.8732 | lr: 0.00015000 
Fold 3 | 071/200 | loss: 0.3961/0.3303 | acc: 0.8368/0.8662 | lr: 0.00015000 *
Fold 3 | 072/200 | loss: 0.3939/0.3308 | acc: 0.8404/0.8662 | lr: 0.00015000 
Fold 3 | 073/200 | loss: 0.3983/0.3311 | acc: 0.8439/0.8662 | lr: 0.00015000 
Fold 3 | 074/200 | loss: 0.3995/0.3302 | acc: 0.8456/0.8662 | lr: 0.00015000 *
Fold 3 | 075/200 | loss: 0.3971/0.3308 | acc: 0.8404/0.8732 | lr: 0.00015000 
Fold 3 | 076/200 | loss: 0.3916/0.3301 | acc: 0.8474/0.8662 | lr: 0.00015000 
Fold 3 | 077/200 | loss: 0.3798/0.3299 | acc: 0.8474/0.8662 | lr: 0.00015000 *
Fold 3 | 078/200 | loss: 0.3912/0.3291 | acc: 0.8509/0.8662 | lr: 0.00015000 *
Fold 3 | 079/200 | loss: 0.3880/0.3276 | acc: 0.8474/0.8662 | lr: 0.00015000 *
Fold 3 | 080/200 | loss: 0.3913/0.3284 | acc: 0.8439/0.8662 | lr: 0.00015000 
